City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Kindu,CD,-2.95,25.95,67.35,98,100,0.96,overcast clouds,0.0,0.0
1,Bandarbeyla,SO,9.4942,50.8122,75.0,78,47,7.54,scattered clouds,0.0,0.0
2,Margate,GB,51.3813,1.3862,55.26,82,99,1.99,overcast clouds,0.0,0.0
3,Bluff,NZ,-46.6,168.3333,61.81,80,77,7.45,broken clouds,0.0,0.0
4,Wladyslawowo,PL,54.7909,18.4009,49.55,84,100,21.5,moderate rain,2.37,0.0
5,Komsomolets,KZ,53.7453,62.0708,33.28,31,96,19.04,overcast clouds,0.0,0.0
6,Chuy,UY,-33.6971,-53.4616,55.56,76,25,6.44,scattered clouds,0.0,0.0
7,Clyde River,CA,70.4692,-68.5914,6.58,88,84,4.88,broken clouds,0.0,0.0
8,Qaanaaq,GL,77.484,-69.3632,6.08,70,98,7.83,overcast clouds,0.0,0.0
9,New Norfolk,AU,-42.7826,147.0587,62.65,45,39,1.01,scattered clouds,0.0,0.0
10,Rikitea,PF,-23.1203,-134.9692,75.76,82,100,15.73,overcast clouds,0.0,0.0
11,Holme,DK,56.1138,10.1725,51.75,93,100,17.87,light rain,0.27,0.0
12,Romilly-Sur-Seine,FR,48.5108,3.7263,40.19,80,87,7.7,overcast clouds,0.0,0.0
13,Deputatskiy,RU,69.3,139.9,-6.72,93,100,5.91,overcast clouds,0.0,0.0
14,Albany,US,42.6001,-73.9662,40.32,72,0,2.98,clear sky,0.0,0.0
15,Mogok,MM,22.9167,96.5,57.56,89,7,1.97,clear sky,0.0,0.0
16,Nikolskoye,RU,59.7035,30.7861,40.87,83,68,8.9,broken clouds,0.0,0.0
17,Inirida,CO,3.8653,-67.9239,76.59,87,73,3.04,broken clouds,0.0,0.0
18,Baykit,RU,61.67,96.37,20.43,95,100,7.38,overcast clouds,0.0,0.0
19,Saint-Philippe,RE,-21.3585,55.7679,71.15,84,39,8.84,scattered clouds,0.0,0.0
20,Karasjok,NO,69.4719,25.5112,23.11,86,71,5.37,broken clouds,0.0,0.0
21,Airai,TL,-8.9266,125.4092,72.43,59,35,1.7,scattered clouds,0.0,0.0
22,Klaksvik,FO,62.2266,-6.589,47.32,96,100,6.69,overcast clouds,0.0,0.0
23,Port Hardy,CA,50.6996,-127.4199,42.55,83,100,5.79,overcast clouds,0.0,0.0
24,Denpasar,ID,-8.65,115.2167,82.06,78,20,4.61,few clouds,0.0,0.0
25,Khatanga,RU,71.9667,102.5,12.43,95,100,6.04,overcast clouds,0.0,0.0
26,Laredo,US,27.5064,-99.5075,73.4,46,0,6.87,clear sky,0.0,0.0
27,Novyy Svit,UA,47.8059,38.0211,48.47,66,99,8.88,overcast clouds,0.0,0.0
28,Punta Arenas,CL,-53.15,-70.9167,48.11,87,100,10.45,overcast clouds,0.0,0.0
29,Puerto Ayora,EC,-0.7393,-90.3518,69.3,78,53,10.45,broken clouds,0.0,0.0
30,Tasiilaq,GL,65.6145,-37.6368,8.17,81,77,7.34,broken clouds,0.0,0.0
31,Saint George,US,37.1041,-113.5841,79.27,22,31,1.01,scattered clouds,0.0,0.0
32,Laguna,US,38.421,-121.4238,64.47,67,90,1.01,overcast clouds,0.0,0.0
33,Salalah,OM,17.0151,54.0924,73.89,75,97,0.92,overcast clouds,0.0,0.0
34,Redondela,ES,42.2834,-8.6096,53.85,83,0,4.61,clear sky,0.0,0.0
35,Atuona,PF,-9.8,-139.0333,78.08,66,26,16.24,scattered clouds,0.0,0.0
36,Busselton,AU,-33.65,115.3333,54.05,59,10,8.03,clear sky,0.0,0.0
37,East London,ZA,-33.0153,27.9116,64.29,90,100,5.17,light rain,0.29,0.0
38,Cabo San Lucas,MX,22.8909,-109.9124,82.18,62,62,6.44,broken clouds,0.0,0.0
39,Iqaluit,CA,63.7506,-68.5145,18.7,73,97,5.01,overcast clouds,0.0,0.0
40,Arraial Do Cabo,BR,-22.9661,-42.0278,69.62,73,71,6.87,broken clouds,0.0,0.0
41,Ushuaia,AR,-54.8,-68.3,43.3,99,100,4.38,light rain,0.72,0.0
42,Korla,CN,41.7597,86.1469,23.29,44,2,5.37,clear sky,0.0,0.0
43,Nuevo Progreso,MX,23.1667,-97.95,76.59,62,57,3.0,broken clouds,0.0,0.0
44,Cape Town,ZA,-33.9258,18.4232,58.26,73,0,4.0,clear sky,0.0,0.0
45,Syracuse,IT,37.0881,15.2792,70.32,89,53,8.5,broken clouds,0.0,0.0
46,Avarua,CK,-21.2078,-159.775,78.85,61,40,11.5,scattered clouds,0.0,0.0
47,Thinadhoo,MV,0.5333,72.9333,82.4,74,93,15.26,light rain,0.16,0.0
48,Jamestown,US,42.097,-79.2353,39.33,69,6,4.0,clear sky,0.0,0.0
49,Kapaa,US,22.0752,-159.319,80.11,59,13,4.0,few clouds,0.0,0.0
50,Lebu,CL,-37.6167,-73.65,52.47,87,35,13.98,scattered clouds,0.0,0.0
51,Hermanus,ZA,-34.4187,19.2345,56.89,75,19,5.7,few clouds,0.0,0.0
52,Katsuura,JP,35.1333,140.3,61.11,81,100,7.18,light rain,0.1,0.0
53,Carnarvon,AU,-24.8667,113.6333,67.55,69,2,18.84,clear sky,0.0,0.0
54,Bilma,NE,18.6853,12.9164,76.59,16,54,3.87,broken clouds,0.0,0.0
55,Provideniya,RU,64.3833,-173.3,16.59,87,73,4.56,broken clouds,0.0,0.0
56,Robertsport,LR,6.7533,-11.3686,80.31,79,81,5.37,light rain,0.66,0.0
57,Celestun,MX,20.8667,-90.4,76.66,62,15,12.73,few clouds,0.0,0.0
58,Vaini,TO,-21.2,-175.2,77.52,79,84,15.68,broken clouds,0.0,0.0
59,Scarborough,GB,54.2797,-0.4044,50.52,79,94,3.0,overcast clouds,0.0,0.0
60,Vardo,NO,70.3705,31.1107,34.54,58,100,15.48,overcast clouds,0.0,0.0
61,Nanortalik,GL,60.1432,-45.2371,31.1,73,90,11.07,overcast clouds,0.0,0.0
62,La Ronge,CA,55.1001,-105.2842,39.45,87,90,4.61,overcast clouds,0.0,0.0
63,Lodja,CD,-3.4833,23.4333,67.6,99,100,2.55,overcast clouds,0.0,0.0
64,Aswan,EG,24.0934,32.907,76.84,32,0,10.18,clear sky,0.0,0.0
65,Mongar,BT,27.2747,91.2396,45.93,81,32,4.92,scattered clouds,0.0,0.0
66,Chokurdakh,RU,70.6333,147.9167,-4.58,97,95,8.19,overcast clouds,0.0,0.0
67,Barrow,US,71.2906,-156.7887,19.58,92,52,12.59,broken clouds,0.0,0.0
68,Isangel,VU,-19.55,169.2667,77.14,70,100,8.59,overcast clouds,0.0,0.0
69,Lunglei,IN,22.8833,92.7333,54.27,90,6,3.22,clear sky,0.0,0.0
70,Hilo,US,19.7297,-155.09,88.29,85,12,4.0,few clouds,0.0,0.0
71,Gerede,TR,40.8008,32.1969,47.89,57,99,2.73,overcast clouds,0.0,0.0
72,San Vicente,AR,-26.6167,-54.1333,66.72,88,74,5.93,broken clouds,0.0,0.0
73,Fairbanks,US,64.8378,-147.7164,25.61,90,96,0.07,overcast clouds,0.0,0.0
74,Saint Anthony,US,45.0205,-93.218,60.3,56,40,1.01,scattered clouds,0.0,0.0
75,Along,IN,28.1667,94.7667,53.83,75,21,1.39,few clouds,0.0,0.0
76,Shillong,IN,25.5689,91.8831,49.23,75,33,0.85,scattered clouds,0.0,0.0
77,Necochea,AR,-38.5473,-58.7368,51.04,63,100,11.27,light rain,0.11,0.0
78,Mehamn,NO,71.0357,27.8492,30.36,67,95,5.14,overcast clouds,0.0,0.0
79,Bonavista,CA,48.6499,-53.1147,42.12,74,10,20.76,clear sky,0.0,0.0
80,Yellowknife,CA,62.456,-114.3525,31.41,96,100,8.05,overcast clouds,0.0,0.0
81,Portland,US,45.5234,-122.6762,50.45,84,90,5.01,overcast clouds,0.0,0.0
82,Okhotsk,RU,59.3833,143.3,12.76,94,100,27.94,light snow,0.0,0.44
83,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,69,75,11.01,broken clouds,0.0,0.0
84,Cardston,CA,49.2,-113.3019,42.46,62,32,12.21,scattered clouds,0.0,0.0
85,Dikson,RU,73.5069,80.5464,17.26,96,100,2.06,light snow,0.0,0.12
86,Constitucion,CL,-35.3333,-72.4167,51.22,93,8,8.66,clear sky,0.0,0.0
87,Omsukchan,RU,62.5333,155.8,18.18,97,100,7.25,overcast clouds,0.0,0.0
88,Port Alfred,ZA,-33.5906,26.891,63.1,88,100,2.01,overcast clouds,0.0,0.0
89,Pochutla,MX,15.7432,-96.4661,75.25,84,52,4.03,broken clouds,0.0,0.0
90,Balkanabat,TM,39.5108,54.3671,43.38,34,16,3.31,few clouds,0.0,0.0
91,Port Elizabeth,ZA,-33.918,25.5701,61.11,84,98,9.37,light rain,0.14,0.0
92,Erenhot,CN,43.6475,111.9767,10.62,78,100,8.55,overcast clouds,0.0,0.0
93,Mataura,NZ,-46.1927,168.8643,61.48,39,69,2.01,broken clouds,0.0,0.0
94,Bengkulu,ID,-3.8004,102.2655,74.34,96,100,13.53,overcast clouds,0.0,0.0
95,Adigeni,GE,41.6819,42.6987,35.47,73,37,3.6,scattered clouds,0.0,0.0
96,Thompson,CA,55.7435,-97.8558,32.22,86,87,2.04,overcast clouds,0.0,0.0
97,Ahipara,NZ,-35.1667,173.1667,67.39,68,9,4.14,clear sky,0.0,0.0
98,Farah,AF,32.5,62.5,48.09,24,24,2.13,few clouds,0.0,0.0
99,Hithadhoo,MV,-0.6,73.0833,83.21,70,98,17.45,overcast clouds,0.0,0.0
