City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kindu,CD,67.35,overcast clouds,-2.95,25.95,Résidence Okanda
1,Bandarbeyla,SO,75.0,scattered clouds,9.4942,50.8122,JABIR HOTEL
3,Bluff,NZ,61.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
9,New Norfolk,AU,62.65,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
10,Rikitea,PF,75.76,overcast clouds,-23.1203,-134.9692,People ThankYou
17,Inirida,CO,76.59,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
19,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,Airai,TL,72.43,scattered clouds,-8.9266,125.4092,Juvinal Martin
24,Denpasar,ID,82.06,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
26,Laredo,US,73.4,clear sky,27.5064,-99.5075,La Posada Hotel
29,Puerto Ayora,EC,69.3,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Saint George,US,79.27,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
32,Laguna,US,64.47,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
33,Salalah,OM,73.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
35,Atuona,PF,78.08,scattered clouds,-9.8,-139.0333,Villa Enata
37,East London,ZA,64.29,light rain,-33.0153,27.9116,Tu Casa
38,Cabo San Lucas,MX,82.18,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
40,Arraial Do Cabo,BR,69.62,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Nuevo Progreso,MX,76.59,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
45,Syracuse,IT,70.32,broken clouds,37.0881,15.2792,Hotel Posta
46,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
49,Kapaa,US,80.11,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Katsuura,JP,61.11,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
53,Carnarvon,AU,67.55,clear sky,-24.8667,113.6333,Hospitality Carnarvon
54,Bilma,NE,76.59,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
56,Robertsport,LR,80.31,light rain,6.7533,-11.3686,Kwepunha Retreat
57,Celestun,MX,76.66,few clouds,20.8667,-90.4,Posada Lilia
58,Vaini,TO,77.52,broken clouds,-21.2,-175.2,Keleti Beach Resort
64,Aswan,EG,76.84,clear sky,24.0934,32.907,Nuba Nile
68,Isangel,VU,77.14,overcast clouds,-19.55,169.2667,Tanna Lodge
70,Hilo,US,88.29,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
72,San Vicente,AR,66.72,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
74,Saint Anthony,US,60.3,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
83,Los Llanos De Aridane,ES,65.95,broken clouds,28.6585,-17.9182,Valle Aridane
88,Port Alfred,ZA,63.1,overcast clouds,-33.5906,26.891,The Halyards Hotel
89,Pochutla,MX,75.25,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
91,Port Elizabeth,ZA,61.11,light rain,-33.918,25.5701,39 On Nile Guest House
93,Mataura,NZ,61.48,broken clouds,-46.1927,168.8643,Ellie's Villa
94,Bengkulu,ID,74.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
97,Ahipara,NZ,67.39,clear sky,-35.1667,173.1667,Ahipara Holiday Park
99,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.0833,Scoop Guest House
100,Kavaratti,IN,81.54,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
102,Labuhan,ID,84.51,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
103,Butaritari,KI,82.11,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
105,Palauig,PH,83.89,broken clouds,15.435,119.9045,Alperi Botique Resort
106,Puerto Narino,CO,76.39,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
110,Victoria,HK,78.85,clear sky,22.2855,114.1577,Mini Hotel Central
111,Kailua,US,84.15,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
112,Rawson,AR,65.57,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
113,Dingle,PH,82.02,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
114,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
118,Sao Filipe,CV,78.51,overcast clouds,14.8961,-24.4956,Hotel Xaguate
120,Te Anau,NZ,66.94,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
122,Ribeira Grande,PT,69.55,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
123,Mount Isa,AU,87.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
