City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2021-11-03 01:25:01,-21.2078,-159.775,80.65,69,40,18.41
1,Kapit,MY,2021-11-03 01:25:01,2.0167,112.9333,79.45,87,99,1.12
2,Busselton,AU,2021-11-03 01:25:02,-33.65,115.3333,62.04,57,23,8.93
3,Puerto Ayora,EC,2021-11-03 01:25:03,-0.7393,-90.3518,69.8,87,99,8.28
4,Rikitea,PF,2021-11-03 01:25:03,-23.1203,-134.9692,73.4,77,100,15.84
5,Butaritari,KI,2021-11-03 01:25:04,3.0707,172.7902,82.4,66,6,13.78
6,Saskylakh,RU,2021-11-03 01:25:04,71.9167,114.0833,2.34,98,100,4.07
7,Muli,MV,2021-11-03 01:21:16,2.9167,73.5667,81.37,78,100,18.99
8,Thompson,CA,2021-11-03 01:25:05,55.7435,-97.8558,24.96,86,1,3.44
9,Cherskiy,RU,2021-11-03 01:25:05,68.75,161.3,-4.31,97,98,8.97
10,Ixtapa,MX,2021-11-03 01:20:45,20.7,-105.2,76.26,90,94,0.34
11,Punta Arenas,CL,2021-11-03 01:22:25,-53.15,-70.9167,48.31,87,90,4.61
12,Bredasdorp,ZA,2021-11-03 01:25:06,-34.5322,20.0403,52.92,76,0,6.91
13,Broome,US,2021-11-03 01:25:06,42.2506,-75.833,39.78,68,90,1.99
14,Hobart,AU,2021-11-03 01:25:06,-42.8794,147.3294,76.01,60,75,1.01
15,Sao Felix Do Xingu,BR,2021-11-03 01:25:07,-6.6447,-51.995,72.66,97,100,1.34
16,Vao,NC,2021-11-03 01:25:07,-22.6667,167.4833,69.85,61,70,11.92
17,Yar-Sale,RU,2021-11-03 01:25:07,66.8333,70.8333,14.38,87,100,13.56
18,Bluff,NZ,2021-11-03 01:25:08,-46.6,168.3333,56.8,56,2,18.59
19,Maceio,BR,2021-11-03 01:24:04,-9.6658,-35.7353,80.04,89,20,5.75
20,Port Elizabeth,ZA,2021-11-03 01:25:08,-33.918,25.5701,52.09,87,0,3.44
21,Svetlogorsk,BY,2021-11-03 01:25:08,52.6333,29.7333,47.12,97,100,8.3
22,Vaini,TO,2021-11-03 01:25:09,-21.2,-175.2,82.56,74,40,9.22
23,Lethem,GY,2021-11-03 01:25:09,3.3803,-59.7968,80.17,70,36,6.64
24,Hilo,US,2021-11-03 01:25:09,19.7297,-155.09,87.28,49,1,6.91
25,Yokadouma,CM,2021-11-03 01:25:10,3.5167,15.05,68.52,99,97,1.81
26,Albany,US,2021-11-03 01:23:39,42.6001,-73.9662,45.18,68,43,3.0
27,Acajutla,SV,2021-11-03 01:25:10,13.5928,-89.8275,80.65,73,92,5.48
28,Tilichiki,RU,2021-11-03 01:25:10,60.4667,166.1,-0.85,82,11,6.13
29,Jamestown,US,2021-11-03 01:25:10,42.097,-79.2353,37.02,92,75,8.01
30,Joensuu,FI,2021-11-03 01:25:11,62.6012,29.7632,42.28,88,75,16.11
31,Dingle,PH,2021-11-03 01:25:11,10.9995,122.6711,78.67,89,100,10.16
32,Kaitangata,NZ,2021-11-03 01:25:11,-46.2817,169.8464,53.49,52,3,11.23
33,Dikson,RU,2021-11-03 01:25:12,73.5069,80.5464,13.26,91,100,24.94
34,Sokolo,ML,2021-11-03 01:25:12,14.7328,-6.1219,85.53,43,81,6.44
35,Vila Velha,BR,2021-11-03 01:21:25,-20.3297,-40.2925,75.15,88,40,11.5
36,Nikolskoye,RU,2021-11-03 01:25:12,59.7035,30.7861,40.87,87,55,7.74
37,Castro,BR,2021-11-03 01:25:13,-24.7911,-50.0119,58.73,97,2,4.52
38,Clyde River,CA,2021-11-03 01:25:13,70.4692,-68.5914,22.82,87,96,29.15
39,Port Alfred,ZA,2021-11-03 01:25:13,-33.5906,26.891,60.39,78,73,2.59
40,Berlevag,NO,2021-11-03 01:25:14,70.8578,29.0864,40.86,88,100,25.23
41,Barrow,US,2021-11-03 01:25:14,71.2906,-156.7887,17.62,86,1,14.97
42,Brae,GB,2021-11-03 01:25:14,60.3964,-1.353,44.51,75,100,16.75
43,Inta,RU,2021-11-03 01:25:15,66.0317,60.1659,21.51,70,100,24.92
44,Katsuura,JP,2021-11-03 01:25:15,35.1333,140.3,66.31,59,25,11.68
45,Hithadhoo,MV,2021-11-03 01:25:15,-0.6,73.0833,82.04,77,36,16.13
46,Airai,TL,2021-11-03 01:25:16,-8.9266,125.4092,74.71,57,89,3.89
47,Kruisfontein,ZA,2021-11-03 01:26:16,-34.0033,24.7314,51.35,84,0,4.03
48,Qaanaaq,GL,2021-11-03 01:26:16,77.484,-69.3632,7.07,62,0,8.59
49,Eureka,US,2021-11-03 01:26:17,40.8021,-124.1637,62.2,80,5,7.23
50,Pevek,RU,2021-11-03 01:26:17,69.7008,170.3133,2.73,81,100,9.62
51,Touros,BR,2021-11-03 01:26:17,-5.1989,-35.4608,81.5,79,11,9.4
52,Hofn,IS,2021-11-03 01:26:18,64.2539,-15.2082,30.2,60,100,22.26
53,Coquimbo,CL,2021-11-03 01:24:09,-29.9533,-71.3436,56.93,82,90,5.75
54,Ushuaia,AR,2021-11-03 01:26:18,-54.8,-68.3,55.06,54,40,4.61
